| Campus        | Club                         | Membership Level              | Membership Description                                                                                                         |
|---------------|------------------------------|-------------------------------|---------------------------------------------------------------------------------------------------------------------------------|
| San Jose      | Boulder Ridge Golf Club      | Club West Gold                | Club West Gold unlocks full access to all Bay Club locations (excluding Manhattan Country Club). Members can take advantage of a 4-day advanced booking window for all Sports with complimentary Racquet Sports at all locations (excluding PRO Club) and pay-to-play golf access with 10% off greens fees. 2 complimentary childcare hours per day per child on the membership at participating locations. Exclusive member pricing at Renaissance Walnut Creek hotel. |
| San Jose      | Courtside                    | Club West Gold                | Same as above                                                                                                                   |
| San Jose      | Courtside                    | Executive Club South Bay      | Our premiere membership for fitness, group exercise, aquatics, pickleball, family – and more! – with full access to Santa Clara, Redwood Shores, and Courtside locations, as well as access to San Francisco campus and East Bay campus. |
| East Bay      | Pleasanton                   | East Bay Campus               | East Bay Campus membership includes access to Walnut Creek, Pleasanton, Fremont, and Crow Canyon Country Club. Enjoy extensive amenities within the campus. |
| East Bay      | Pleasanton                   | Executive Club East Bay       | Your East Bay membership that unlocks Executive Club East Bay includes access to Walnut Creek, Pleasanton, Fremont, and Crow Canyon Country Club. Enjoy amenities like aquatics, fitness, and group exercise. |
| East Bay      | Pleasanton                   | Executive Club North Bay      | Our premier fitness membership in the North Bay unlocks access to San Francisco, Marin, and East Bay markets, featuring spacious athletics clubs, sports resorts, and two 18-hole golf courses. |
| East Bay      | Pleasanton                   | Executive Club South Bay      | See Executive Club South Bay above                                                                                              |
| East Bay      | Pleasanton                   | Single Site                   | Single-site membership grants access to one specific club with standard amenities. Ideal for those looking for a local option with fitness, aquatics, and group exercise programs. |
| East Bay      | Pleasanton                   | Club West Gold                | See Club West Gold above                                                                                                        |
| East Bay      | Fremont                      | East Bay Campus               | See East Bay Campus above                                                                                                       |
| East Bay      | Fremont                      | Executive Club East Bay       | See Executive Club East Bay above                                                                                               |
| East Bay      | Fremont                      | Executive Club North Bay      | See Executive Club North Bay above                                                                                              |
| East Bay      | Fremont                      | Executive Club South Bay      | See Executive Club South Bay above                                                                                              |
| East Bay      | Fremont                      | Single Site                   | See Single Site above                                                                                                           |
| East Bay      | Crow Canyon Country Club     | Club West Gold                | See Club West Gold above                                                                                                        |
| East Bay      | Crow Canyon Country Club     | East Bay Campus               | See East Bay Campus above                                                                                                       |
| East Bay      | Crow Canyon Country Club     | Executive Club East Bay       | See Executive Club East Bay above                                                                                               |
| East Bay      | Crow Canyon Country Club     | Executive Club North Bay      | See Executive Club North Bay above                                                                                              |
| East Bay      | Walnut Creek                 | Club West Gold                | See Club West Gold above                                                                                                        |
| East Bay      | Walnut Creek                 | East Bay Campus               | See East Bay Campus above                                                                                                       |
| East Bay      | Walnut Creek                 | Executive Club East Bay       | See Executive Club East Bay above                                                                                               |
